query,public_data_pk,data_type,title,description,provider,modified_date,formats,keywords,url
data_go_kr_pm_parking,15059024,api,경기도_우제류 축산 농가 현황,"또한 시군명 및 시군코드가 함께 제공되어 지역 단위의 분석이 가능하고, 위치 정보(WGS84 좌표계 기반)를 통해 GIS 기반의 공간분석 및 방역구역 설정 등의 목적으로 활용될 수",경기도,2025-09-25,XML,"우제류,축산농가,사육두수,축종정보,가축사육현황,농장정보,도로명주소,위경도",https://www.data.go.kr/data/15059024/openapi.do
data_go_kr_pm_parking,15056728,api,경기도_장애인 자동차 표지발급 집계 현황,이 데이터는 경기도 내 장애인 자동차 주차 표지 발급 현황을 집계한 자료입니다.,경기도,2025-09-12,XML,"장애인,자동차표지,주차표지,복지지원,발급현황,보행장애,재외동포",https://www.data.go.kr/data/15056728/openapi.do
data_go_kr_pm_parking,15057338,api,경기도_학교 내 장애인 편의시설 현황,"이 데이터는 경기도 내 초·중·고등학교 및 특수학교의 장애인 편의시설 설치 현황을 보여주는 자료로, 학교별로 주 출입구 접근로, 장애인 전용 주차구역, 점자블록, 경보 및 피난설비,",경기도,2025-09-25,XML,"장애인편의시설,주출입구접근로,점자블록,장애인주차구역,피난설비,학교시설,교내설치여부,학교급",https://www.data.go.kr/data/15057338/openapi.do
data_go_kr_pm_parking,15099881,file,국세청_세무서별 관할구역,국세청과 그 소속기관 직제 시행규칙에 제공되는 세무서별 관할구역 정보입니다.,국세청,2026-04-10,CSV | JSON + XML,"지방관할,구역,도로명주소,전국,전화번호,세무서코드,계좌번호,우편번호",https://www.data.go.kr/data/15099881/fileData.do
data_go_kr_pm_parking,15126390,api,대전광역시_전동킥보드 주차장,"이용자가 주차 위반 사례를 신고할 수 있도록 하여 주차 질서 확립, 안전한 이동 환경 조성에 기여하고 있습니다.",대전광역시,2025-07-23,JSON,"전동킥보드,이동식킥보드,주차장,공유이동수단,위치 정보",https://www.data.go.kr/data/15126390/openapi.do
data_go_kr_kickboard_parking,15127957,api,대전광역시 서구_노인보호구역 현황,"공간좌표 기반 정보가 포함되어 있어 GIS 분석, 교통안전 대시보드 구축, 지도 기반 서비스와의 연동에도 적합하며, 행정·연구·서비스 개발 등 다양한 분야에서 활용 가능한 공공 안전관리",대전광역시 서구,2025-11-20,XML | JSON,"노인,보호,구역,고령화,교통안전,보호구역,안전관리,교통약자",https://www.data.go.kr/data/15127957/openapi.do
data_go_kr_kickboard_parking,15128492,api,대전광역시 서구_안심귀가단 운영 현황,"이 데이터는 생활방범 정책 수립, 야간 귀가 안전구역 관리, 순찰 인력 배치 효율화 등 공공 안전 관련 행정업무에 활용될 수 있으며, 시기별·구역별 활동량 분석을 통해 취약 시간대나",대전광역시 서구,2025-11-20,XML | JSON,"안심,귀가단,운영현황,안심귀가단,순찰,생활방범,귀가지원,치안활동",https://www.data.go.kr/data/15128492/openapi.do
data_go_kr_pm_parking,15044669,file,대전교통공사_1호선 역사 CCTV 및 녹화장치 현황,대전교통공사 대전도시철도 1호선 영상정보처리 장치에 대한 현황 데이터 자료입니다.자료 현황 기준일:2025.09.16자료 정보 내용1.,대전교통공사,2025-09-16,CSV | JSON + XML,"도시철도 CCTV,역사 CCTV,대전도시철도,역사 DVR,영상정보처리 정보",https://www.data.go.kr/data/15044669/fileData.do
data_go_kr_kickboard_parking,15004512,api,부산광역시_착한가격업소,"개방된 데이터는 업소명, 대표자명, 주소, 전화번호, 소개, 주차여부, 영업시간, 이미지 등의 정보를 포함하고 있습니다.",부산광역시,2025-05-22,XML | JSON,"저렴,안심,청결,친절,서비스,가성비",https://www.data.go.kr/data/15004512/openapi.do
data_go_kr_pm_parking,15142694,file,부산광역시 부산진구_개인형 이동장치(PM)주차구역 현황,"부산광역시 부산진구청 개인형 이동장치(전동킥보드, 전기자전거 등)의 주차구역에 대한 데이터로 주차구역별 위치 및 위도, 경도, 주차대수 항목을 제공합니다.",부산광역시 부산진구,2026-05-21,CSV | JSON + XML,"개인형이동장치주차구역,전동킥보드,전기자전거,연도별주차구역,주차대수,데이터기준일",https://www.data.go.kr/data/15142694/fileData.do
data_go_kr_seoul_pm,15077786,api,서울특별시_공공자전거 대여 이력,해당 데이터는 서울시 공공자전거 대여 이력 OpenAPI 데이터입니다. 데이터의 원본시스템은 서울자전거 홈페이지(https://www.bikeseoul.com)입니다.,서울특별시,2025-07-09,XML,"자전거,따릉이,공공자전거,대여,이력",https://www.data.go.kr/data/15077786/openapi.do
data_go_kr_seoul_pm,15056899,api,서울특별시_교통량 이력 정보,해당 데이터는 서울시 교통량 이력 정보 OpenAPI 데이터입니다. 데이터의 원본시스템은 서울시 교통정보 시스템(https://topis.seoul.go.kr)입니다.,서울특별시,2025-07-08,XML | JSON,"교통량,교통사고,시간별,교통량 이력,교통상황",https://www.data.go.kr/data/15056899/openapi.do
data_go_kr_seoul_pm,15112123,file,서울특별시_민간대여 공유 전동킥보드 기기 대수,서울시 내에서 공유 전동킥보드 대여 사업을 운영하고 있는 4개의 민간 대여업체(운영 브랜드는 총 5개)의 전동킥보드 기기 대수를 최신 데이터(2025년 5월 말 기준)로 현행화하여,서울특별시,2025-08-28,CSV,"전동킥보드,개인형 이동장치,공유 전동킥보드,민간대여 전동킥보드,도로교통법,전동킥보드 대여",https://www.data.go.kr/data/15112123/fileData.do
data_go_kr_seoul_pm,15000314,api,서울특별시_버스도착정보조회 서비스,서울특별시 버스도착정보조회 서비스는 특정 노선ID를 기반으로 해당 정류소에서의 실시간 버스 도착예정 정보를 제공하는 API입니다.,서울특별시,2025-12-02,XML,"도착예정정보,버스 도착,정류,버스,도착정보",https://www.data.go.kr/data/15000314/openapi.do
data_go_kr_seoul_pm,15000332,api,서울특별시_버스위치정보조회 서비스,서울특별시_버스위치정보조회 서비스 API는 서울 시내를 운행하는 버스의 실시간 위치 정보를 제공하는 공공데이터 서비스입니다.,서울특별시,2025-12-02,XML | JSON,"서울특별시,버스위치,버스위치정보,정류소,차량번호",https://www.data.go.kr/data/15000332/openapi.do
data_go_kr_seoul_pm,15058364,api,서울특별시_실시간 도로 소통 정보,해당 데이터는 서울시 실시간 도로 소통 정보 OpenAPI입니다. 데이터의 원본 시스템은 서울시 교통정보 시스템(https://topis.seoul.go.kr)입니다.,서울특별시,2025-07-08,XML | JSON,"도로,도로 소통 정보,도로 정보,교통상황,교통량",https://www.data.go.kr/data/15058364/openapi.do
data_go_kr_seoul_pm,15119757,file,서울특별시_전동킥보드 주차구역 현황,"이 데이터는 서울시 전동킥보드 주차구역 현황을 정리한 자료로, 서울 시내 주요 지점에 설치된 전동킥보드 전용 주차구역 정보를 제공합니다.",서울특별시,2025-08-16,CSV,"전동킥보드,주차구역,현황,주차,킥보드",https://www.data.go.kr/data/15119757/fileData.do
data_go_kr_seoul_pm,15100108,file,서울특별시_전동킥보드_견인현황,"서울시에서 전동킥보드 견인 현황을 제공합니다. 신고일자, 자치구정보, 주소, 견인유형, 조치일 등의 정보를 제공합니다.",서울특별시,2022-09-21,CSV,"개인형이동장치,킥보드,견인",https://www.data.go.kr/data/15100108/fileData.do
data_go_kr_seoul_pm,15107840,file,서울특별시 강남구_전동킥보드 주차구역,서울특별시 강남구 내 위치가 전동킥보드 주차구역 현황입니다. 기타 자세한 사항은 강남구 교통행정과(02-3423-6414)으로 주시면 자세히 안내해 드리겠습니다.,서울특별시 강남구,2025-11-11,CSV | JSON + XML,"전동,킥보드,주차,도로명,세부위치",https://www.data.go.kr/data/15107840/fileData.do
data_go_kr_kickboard_parking,15107741,file,서울특별시 강서구_전동킥보드 주차구역,서울특별시 강서구에서 제공하는 전동킥보드 주차구역에 대한 현황 정보를 담은 공공데이터입니다.,서울특별시 강서구,2025-08-06,CSV,"킥보드,전동킥보드,주차,모빌리티,이동수단",https://www.data.go.kr/data/15107741/fileData.do
data_go_kr_kickboard_parking,15112115,file,서울특별시 동대문구_전동킥보드 주차구역,"서울특별시 동대문구 전동킥보드(PM) 주차구역에 대한 데이터로 행정구역, 지번 주소, 세부위치, 거치대 유무 등의 항목을 제공합니다.",서울특별시 동대문구,2026-03-19,CSV | JSON + XML,"전동킥보드,주차구역,위치,전동,킥보드,주차,PM",https://www.data.go.kr/data/15112115/fileData.do
data_go_kr_seoul_pm,15107725,file,서울특별시 동작구_공유형 전동킥보드 주차구역,이 데이터는 동작구 공유형 전동킥보드 주차구역 위치 및 설치 현황 정보를 포함하고 있습니다.,서울특별시 동작구,2026-03-16,CSV | JSON + XML,"공유,킥보드,주차구역,전동킥보드,이동수단,주차시설",https://www.data.go.kr/data/15107725/fileData.do
data_go_kr_pm_parking,15159166,file,서울특별시 서초구_개인형이동장치 주차구역,서울특별시 서초구 개인형이동장치(공유형 전동킥보드)주차구역 위치 및 설치 현황 정보를 포함하고 있습니다.,서울특별시 서초구,2026-04-21,CSV | JSON + XML,"공유,이동장치,킥보드,주차구역,전동킥보드,이동수단,상세위치,정책수립",https://www.data.go.kr/data/15159166/fileData.do
data_go_kr_pm_parking,15112195,file,서울특별시 서초구_전동킥보드 주차구역 현황,"서울특별시 서초구 전동킥보드 주차 구역 현황 데이터로 주소, 세부위치, 설치년월등의 정보를 제공합니다.",서울특별시 서초구,2026-02-10,CSV | JSON + XML,"전동킥보드,주차,구역,킥보드,개인형이동장치,이동편의,공유서비스,정책수",https://www.data.go.kr/data/15112195/fileData.do
data_go_kr_pm_parking,15084033,api,해양수산부_선박위치정보(연안AIS) 통계정보,"WMS데이터는 반환 이미지 크기(픽셀), 요청 레이어를 파라미터로 맵 이미지 파일을 조회할 수 있으며, WFS는 집계연도, 요청 레이어를 파라미터로 구역의 텍스트 형태 공간정보, AIS",해양수산부,2025-08-05,JSON,"선박위치정보,AIS,해양구역,이미지,공간정보,선박척수,통계",https://www.data.go.kr/data/15084033/openapi.do
